#Version	Since	Object	Element	Reference	Occurrence	Group	Type
2.3.1	1.1.0	AccessInformation	RepositoryID	01	1		
2.3.1	1.1.0	AccessInformation	Availability	02	0		
2.3.1	1.1.0	AccessInformation	AccessRights	03	0		
2.3.1	1.1.0	AccessInformation	AccessURL	04	+		
2.3.1	1.1.0	AccessInformation	Format	05	1		
2.3.1	1.1.0	AccessInformation	Encoding	06	0		
2.3.1	1.2.0	AccessInformation	DataExtent	07	0		
2.3.1	1.1.0	AccessInformation	Acknowledgement	08	0		
2.3.1	1.1.0	AccessURL	Name	01	0		
2.3.1	1.1.0	AccessURL	URL	02	1		
2.3.1	2.3.0	AccessURL	Style	03	0		
2.3.1	2.2.2	AccessURL	ProductKey	04	*		
2.3.1	1.1.0	AccessURL	Description	05	0		
2.3.1	1.3.0	AccessURL	Language	06	0		
2.3.1	1.3.4	Annotation	ResourceID	01	1		
2.3.1	1.3.4	Annotation	ResourceHeader	02	1		
2.3.1	1.3.4	Annotation	ImageURL	03	0		
2.3.1	1.3.4	Annotation	AnnotationType	04	1		
2.3.1	1.3.4	Annotation	PhenomenonType	05	0		
2.3.1	1.3.4	Annotation	ClassificationMethod	06	0		
2.3.1	1.3.4	Annotation	ConfidenceRating	07	0		
2.3.1	1.3.4	Annotation	TimeSpan	08	*		
2.3.1	1.3.4	Annotation	ObservationExtent	09	*		
2.3.1	1.3.4	Annotation	Extension	10	*		
2.3.1	1.3.3	Association	AssociationID	01	1		
2.3.1	1.3.3	Association	AssociationType	02	1		
2.3.1	1.3.3	Association	Note	03	0		
2.3.1	1.1.0	AzimuthalAngleRange	Low	01	1		
2.3.1	1.1.0	AzimuthalAngleRange	High	02	1		
2.3.1	1.1.0	AzimuthalAngleRange	Units	03	1		
2.3.1	1.1.0	AzimuthalAngleRange	Bin	04	*		
2.3.1	1.3.0	Bin	BandName	01	0		
2.3.1	1.1.0	Bin	Low	02	1		
2.3.1	1.1.0	Bin	High	03	1		
2.3.1	1.1.0	Catalog	ResourceID	01	1		
2.3.1	1.1.0	Catalog	ResourceHeader	02	1		
2.3.1	1.1.0	Catalog	AccessInformation	03	+		
2.3.1	2.2.9	Catalog	ProviderName	04	0		
2.3.1	1.1.0	Catalog	ProviderResourceName	05	0		
2.3.1	1.1.0	Catalog	ProviderVersion	06	0		
2.3.1	1.1.0	Catalog	InstrumentID	07	*		
2.3.1	1.1.0	Catalog	PhenomenonType	08	+		
2.3.1	1.1.0	Catalog	TimeSpan	09	0		
