iVersion	Since	List	Item
2.6.0	1.1.0	AccessRights	Open
2.6.0	2.2.9	AccessRights	PartiallyRestricted
2.6.0	1.1.0	AccessRights	Restricted
2.6.0	2.3.1	AdiabaticInvariant	MagneticMoment
2.6.0	2.3.1	AdiabaticInvariant	BounceMotion
2.6.0	2.3.1	AdiabaticInvariant	DriftMotion
2.6.0	1.3.4	AnnotationType	Anomaly
2.6.0	1.3.4	AnnotationType	Event
2.6.0	1.3.4	AnnotationType	Feature
2.6.0	2.4.0	ApplicationInterface	CLI
2.6.0	2.4.0	ApplicationInterface	GUI
2.6.0	2.4.0	ApplicationInterface	API
2.6.0	1.3.6	AssociationType	ChildEventOf
2.6.0	1.3.3	AssociationType	DerivedFrom
2.6.0	1.3.6	AssociationType	ObservedBy
2.6.0	1.3.3	AssociationType	Other
2.6.0	1.3.3	AssociationType	PartOf
2.6.0	1.3.3	AssociationType	RevisionOf
2.6.0	1.1.0	Availability	Offline
2.6.0	1.1.0	Availability	Online
2.6.0	1.3.6	ClassificationMethod	Automatic
2.6.0	1.3.6	ClassificationMethod	Inferred
2.6.0	1.3.6	ClassificationMethod	Inspection
2.6.0	2.6.0	Comet	1P/Halley
2.6.0	2.6.0	Comet	26P/Grigg-Skjellerup
2.6.0	2.6.0	Comet	67P/Churyumov-Gerasimenko
2.6.0	1.3.4	Component	I
2.6.0	1.3.4	Component	J
2.6.0	1.3.4	Component	K
2.6.0	1.3.4	ConfidenceRating	Probable
2.6.0	1.3.4	ConfidenceRating	Strong
2.6.0	1.3.6	ConfidenceRating	Unlikely
2.6.0	1.3.6	ConfidenceRating	Weak
2.6.0	1.1.0	CoordinateRepresentation	Cartesian
2.6.0	1.1.0	CoordinateRepresentation	Cylindrical
2.6.0	1.1.0	CoordinateRepresentation	Spherical
2.6.0	1.2.1	CoordinateSystemName	Carrington
2.6.0	1.1.0	CoordinateSystemName	CGM
2.6.0	2.2.5	CoordinateSystemName	CSO
2.6.0	1.1.0	CoordinateSystemName	DM
2.6.0	2.3.1	CoordinateSystemName	ECD
2.6.0	2.2.3	CoordinateSystemName	ECEF
2.6.0	2.2.3	CoordinateSystemName	ENP
