Version	Since	Object	Element	Order	Occurrence	Group	Type	FixedValue
2.7.0	1.1.0	AccessInformation	RepositoryID	01	1			
2.7.0	1.1.0	AccessInformation	Availability	02	0			
2.7.0	1.1.0	AccessInformation	AccessRights	03	0			
2.7.0	2.7.0	AccessInformation	RightsList	04	0			
2.7.0	1.1.0	AccessInformation	AccessURL	05	+			
2.7.0	1.1.0	AccessInformation	Format	06	+			
2.7.0	1.1.0	AccessInformation	Encoding	07	0			
2.7.0	1.1.0	AccessInformation	AccessDirectoryTemplate	08	0			
2.7.0	1.1.0	AccessInformation	AccessFilenameTemplate	09	0			
2.7.0	1.2.0	AccessInformation	DataExtent	10	0			
2.7.0	1.1.0	AccessInformation	Acknowledgement	11	0			
2.7.0	1.1.0	AccessInformationOptional	RepositoryID	01	1			
2.7.0	1.1.0	AccessInformationOptional	Availability	02	0			
2.7.0	1.1.0	AccessInformationOptional	AccessRights	03	0			
2.7.0	1.1.0	AccessInformationOptional	AccessURL	04	+			
2.7.0	1.1.0	AccessInformationOptional	Format	05	+			
2.7.0	1.1.0	AccessInformationOptional	Encoding	06	0			
2.7.0	1.1.0	AccessInformationOptional	AccessDirectoryTemplate	07	0			
2.7.0	1.1.0	AccessInformationOptional	AccessFilenameTemplate	08	0			
2.7.0	1.2.0	AccessInformationOptional	DataExtent	09	0			
2.7.0	1.1.0	AccessInformationOptional	Acknowledgement	10	0			
2.7.0	1.1.0	AccessURL	Name	01	0			
2.7.0	1.1.0	AccessURL	URL	02	1			
2.7.0	2.3.0	AccessURL	Style	03	0			
2.7.0	2.2.2	AccessURL	ProductKey	04	*			
2.7.0	1.1.0	AccessURL	Description	05	0			
2.7.0	1.3.0	AccessURL	Language	06	0			
2.7.0	1.3.4	Annotation	ResourceID	01	1			
2.7.0	2.7.0	Annotation	NamingAuthority	02	0			
2.7.0	2.7.0	Annotation	ResourceType	03	0			
2.7.0	1.3.4	Annotation	ResourceHeader	04	1			
2.7.0	1.3.4	Annotation	ImageURL	05	0			
2.7.0	1.3.4	Annotation	AnnotationType	06	1			
2.7.0	1.3.4	Annotation	PhenomenonType	07	*			
2.7.0	1.3.4	Annotation	ClassificationMethod	08	0			
