Version	Since	List	Item
3.0.0	1.1.0	AccessRights	Open
3.0.0	2.2.9	AccessRights	PartiallyRestricted
3.0.0	1.1.0	AccessRights	Restricted
3.0.0	2.3.1	AdiabaticInvariant	BounceMotion
3.0.0	2.3.1	AdiabaticInvariant	DriftMotion
3.0.0	2.3.1	AdiabaticInvariant	MagneticMoment
3.0.0	1.3.4	AnnotationType	Anomaly
3.0.0	1.3.4	AnnotationType	Event
3.0.0	1.3.4	AnnotationType	Feature
3.0.0	2.4.0	ApplicationInterface	API
3.0.0	2.4.0	ApplicationInterface	CLI
3.0.0	2.4.0	ApplicationInterface	GUI
3.0.0	1.3.6	AssociationType	ChildEventOf
3.0.0	1.3.3	AssociationType	DerivedFrom
3.0.0	1.3.6	AssociationType	ObservedBy
3.0.0	1.3.3	AssociationType	Other
3.0.0	1.3.3	AssociationType	PartOf
3.0.0	1.3.3	AssociationType	RevisionOf
3.0.0	1.1.0	Availability	Offline
3.0.0	1.1.0	Availability	Online
3.0.0	1.3.6	ClassificationMethod	Automatic
3.0.0	1.3.6	ClassificationMethod	Inferred
3.0.0	1.3.6	ClassificationMethod	Inspection
3.0.0	1.3.4	Component	I
3.0.0	1.3.4	Component	J
3.0.0	1.3.4	Component	K
3.0.0	1.3.4	ConfidenceRating	Probable
3.0.0	1.3.4	ConfidenceRating	Strong
3.0.0	1.3.6	ConfidenceRating	Unlikely
3.0.0	1.3.6	ConfidenceRating	Weak
3.0.0	1.1.0	CoordinateRepresentation	Cartesian
3.0.0	1.1.0	CoordinateRepresentation	Cylindrical
3.0.0	1.1.0	CoordinateRepresentation	Spherical
3.0.0	1.2.1	CoordinateSystemName	Carrington
3.0.0	1.1.0	CoordinateSystemName	CGM
3.0.0	2.2.5	CoordinateSystemName	CSO
3.0.0	1.1.0	CoordinateSystemName	DM
3.0.0	2.3.1	CoordinateSystemName	ECD
3.0.0	2.2.3	CoordinateSystemName	ECEF
3.0.0	2.2.3	CoordinateSystemName	ENP
3.0.0	1.1.0	CoordinateSystemName	GEI
3.0.0	1.1.0	CoordinateSystemName	GEO
3.0.0	2.2.5	CoordinateSystemName	GPHIO
3.0.0	1.1.0	CoordinateSystemName	GSE
3.0.0	1.1.0	CoordinateSystemName	GSEQ
3.0.0	1.1.0	CoordinateSystemName	GSM
3.0.0	1.1.0	CoordinateSystemName	HAE
3.0.0	2.2.0	CoordinateSystemName	HCC
3.0.0	1.2.1	CoordinateSystemName	HCI
3.0.0	2.2.0	CoordinateSystemName	HCR
3.0.0	1.1.0	CoordinateSystemName	HEE
3.0.0	1.1.0	CoordinateSystemName	HEEQ
3.0.0	2.2.9	CoordinateSystemName	HERTN
3.0.0	1.1.0	CoordinateSystemName	HG
3.0.0	1.1.0	CoordinateSystemName	HGI
3.0.0	2.2.9	CoordinateSystemName	HGRTN
3.0.0	2.2.0	CoordinateSystemName	HPC
3.0.0	2.2.0	CoordinateSystemName	HPR
3.0.0	2.2.5	CoordinateSystemName	HSM
3.0.0	1.1.0	CoordinateSystemName	J2000
3.0.0	2.2.4	CoordinateSystemName	JSM
3.0.0	2.2.4	CoordinateSystemName	JSO
3.0.0	2.2.4	CoordinateSystemName	KSM
3.0.0	2.2.4	CoordinateSystemName	KSO
3.0.0	1.1.0	CoordinateSystemName	LGM
3.0.0	1.1.0	CoordinateSystemName	MAG
3.0.0	1.1.0	CoordinateSystemName	MFA
3.0.0	2.2.4	CoordinateSystemName	MSO
3.0.0	1.1.0	CoordinateSystemName	RTN
3.0.0	1.1.0	CoordinateSystemName	SC
3.0.0	1.1.0	CoordinateSystemName	SE
3.0.0	1.1.0	CoordinateSystemName	SM
3.0.0	1.2.1	CoordinateSystemName	SpacecraftOrbitPlane
3.0.0	1.1.0	CoordinateSystemName	SR
3.0.0	1.1.0	CoordinateSystemName	SR2
3.0.0	1.1.0	CoordinateSystemName	SSE
3.0.0	2.2.0	CoordinateSystemName	SSE_L
3.0.0	2.2.5	CoordinateSystemName	TIIS
3.0.0	2.2.4	CoordinateSystemName	VSO
3.0.0	1.2.0	CoordinateSystemName	WGS84
3.0.0	1.3.4	DirectionAngle	AzimuthAngle
3.0.0	1.3.4	DirectionAngle	ElevationAngle
3.0.0	1.3.4	DirectionAngle	PolarAngle
3.0.0	2.3.1	DirectionCosine	I
3.0.0	2.3.1	DirectionCosine	J
3.0.0	2.3.1	DirectionCosine	K
3.0.0	1.3.1	DisplayType	Image
3.0.0	1.3.5	DisplayType	Plasmagram
3.0.0	1.3.1	DisplayType	Spectrogram
3.0.0	1.3.1	DisplayType	StackPlot
3.0.0	1.3.1	DisplayType	TimeSeries
3.0.0	1.3.5	DisplayType	WaveForm
3.0.0	2.4.0	DocumentType	Convention
3.0.0	1.3.0	DocumentType	Other
3.0.0	2.4.0	DocumentType	Policy
3.0.0	1.3.0	DocumentType	Poster
3.0.0	1.3.0	DocumentType	Presentation
3.0.0	1.3.0	DocumentType	Report
3.0.0	1.3.0	DocumentType	Specification
3.0.0	1.3.0	DocumentType	TechnicalNote
3.0.0	1.3.0	DocumentType	WhitePaper
3.0.0	1.1.0	Earth	Magnetosheath
3.0.0	1.1.0	Earth	Magnetosphere
3.0.0	2.2.3	Earth	Moon
3.0.0	1.1.0	Earth	NearSurface
3.0.0	1.1.0	Earth	Surface
3.0.0	1.1.0	Encoding	ASCII
3.0.0	1.1.0	Encoding	Base64
3.0.0	1.1.0	Encoding	BZIP2
3.0.0	1.1.0	Encoding	GZIP
3.0.0	1.1.0	Encoding	None
